iter	Passed	Remaining
0	33	33365
1	72	36179
2	101	33597
3	137	34306
4	171	34211
5	202	33587
6	239	34045
7	274	34088
8	310	34199
9	337	33446
10	368	33162
11	404	33310
12	432	32832
13	464	32679
14	499	32793
15	536	32971
16	573	33161
17	612	33426
18	649	33514
19	674	33044
20	698	32540
21	732	32582
22	760	32292
23	791	32195
24	823	32099
25	847	31748
26	871	31402
27	909	31572
28	934	31280
29	958	30977
30	982	30715
31	1009	30541
32	1035	30353
33	1060	30139
34	1091	30102
35	1120	30007
36	1154	30039
37	1184	29992
38	1216	29967
39	1244	29856
40	1270	29727
41	1298	29615
42	1335	29726
43	1361	29582
44	1395	29605
45	1425	29566
46	1452	29461
47	1476	29288
48	1506	29230
49	1534	29152
50	1557	28977
51	1591	29008
52	1622	28998
53	1648	28876
54	1674	28767
55	1699	28649
56	1730	28623
57	1763	28637
58	1788	28525
59	1827	28631
60	1860	28633
61	1883	28497
62	1914	28467
63	1946	28461
64	1973	28392
65	2008	28426
66	2039	28404
67	2085	28578
68	2114	28536
69	2145	28502
70	2177	28485
71	2203	28400
72	2232	28348
73	2263	28327
74	2288	28227
75	2313	28124
76	2345	28118
77	2380	28140
78	2409	28095
79	2437	28027
80	2463	27945
81	2495	27932
82	2527	27922
83	2551	27819
84	2575	27727
85	2599	27631
86	2628	27581
87	2659	27560
88	2689	27533
89	2713	27434
90	2743	27400
91	2770	27346
92	2796	27278
93	2830	27281
94	2864	27286
95	2892	27234
96	2921	27195
97	2951	27164
98	2987	27193
99	3019	27173
100	3049	27145
101	3073	27060
102	3104	27036
103	3134	27003
104	3165	26982
105	3190	26905
106	3223	26905
107	3253	26875
108	3288	26878
109	3319	26861
110	3349	26827
111	3376	26767
112	3402	26706
113	3430	26658
114	3458	26614
115	3483	26550
116	3518	26550
117	3550	26534
118	3579	26501
119	3611	26481
120	3642	26458
121	3668	26398
122	3693	26331
123	3721	26292
124	3749	26246
125	3781	26230
126	3810	26190
127	3837	26144
128	3866	26107
129	3893	26054
130	3918	25994
131	3946	25952
132	3974	25910
133	4005	25889
134	4031	25830
135	4056	25770
136	4081	25712
137	4108	25660
138	4141	25653
139	4171	25623
140	4193	25549
141	4217	25482
142	4239	25405
143	4269	25379
144	4299	25350
145	4326	25306
146	4355	25271
147	4378	25207
148	4418	25237
149	4448	25208
150	4478	25182
151	4511	25171
152	4537	25121
153	4568	25096
154	4594	25047
155	4617	24980
156	4643	24931
157	4673	24904
158	4695	24836
159	4720	24781
160	4743	24721
161	4776	24710
162	4806	24682
163	4849	24720
164	4875	24670
165	4906	24650
166	4929	24589
167	4959	24563
168	4984	24508
169	5007	24450
170	5034	24409
171	5066	24388
172	5097	24366
173	5122	24316
174	5156	24306
175	5182	24264
176	5208	24218
177	5240	24199
178	5274	24190
179	5304	24164
180	5332	24128
181	5361	24095
182	5393	24081
183	5426	24065
184	5453	24023
185	5486	24010
186	5514	23973
187	5547	23959
188	5577	23933
189	5611	23924
190	5640	23891
191	5677	23893
192	5709	23875
193	5741	23852
194	5771	23825
195	5807	23823
196	5838	23800
197	5868	23769
198	5893	23723
199	5922	23688
200	5949	23650
201	5980	23627
202	6013	23610
203	6052	23618
204	6085	23600
205	6127	23616
206	6169	23636
207	6205	23626
208	6235	23599
209	6277	23613
210	6305	23578
211	6336	23551
212	6371	23542
213	6401	23511
214	6432	23484
215	6456	23436
216	6491	23421
217	6516	23376
218	6549	23355
219	6578	23323
220	6607	23291
221	6633	23247
222	6664	23222
223	6693	23188
224	6721	23152
225	6749	23115
226	6783	23098
227	6811	23061
228	6837	23021
229	6861	22971
230	6886	22923
231	6912	22881
232	6942	22854
233	6971	22822
234	7005	22804
235	7034	22772
236	7066	22750
237	7090	22702
238	7121	22674
239	7156	22661
240	7190	22647
241	7221	22619
242	7249	22582
243	7275	22542
244	7301	22501
245	7326	22455
246	7350	22408
247	7379	22377
248	7406	22338
249	7433	22299
250	7457	22254
251	7496	22251
252	7537	22255
253	7571	22238
254	7598	22199
255	7626	22164
256	7652	22123
257	7682	22095
258	7714	22070
259	7740	22029
260	7768	21995
261	7799	21969
262	7838	21967
263	7882	21975
264	7917	21959
265	7941	21914
266	7974	21893
267	7998	21845
268	8022	21800
269	8051	21768
270	8081	21738
271	8109	21703
272	8134	21661
273	8161	21623
274	8191	21595
275	8222	21568
276	8257	21552
277	8285	21517
278	8315	21489
279	8340	21446
280	8365	21404
281	8390	21363
282	8418	21329
283	8451	21306
284	8473	21258
285	8498	21216
286	8525	21179
287	8559	21162
288	8590	21134
289	8615	21093
290	8640	21052
291	8668	21018
292	8704	21002
293	8728	20960
294	8763	20943
295	8795	20918
296	8823	20885
297	8858	20868
298	8883	20827
299	8909	20788
300	8939	20759
301	8962	20715
302	8989	20679
303	9021	20654
304	9053	20630
305	9086	20608
306	9113	20571
307	9140	20535
308	9168	20503
309	9207	20493
310	9231	20452
311	9256	20411
312	9282	20374
313	9312	20345
314	9340	20311
315	9368	20278
316	9405	20264
317	9429	20223
318	9452	20178
319	9487	20161
320	9513	20123
321	9543	20094
322	9574	20068
323	9607	20045
